Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin
1,1,female,33.0,1,0,53.1,E8
0,3,male,26.0,0,0,7.8875,
0,3,male,39.0,0,0,24.15,
0,2,male,35.0,0,0,10.5,
0,3,female,6.0,4,2,31.275,
0,3,male,30.5,0,0,8.05,
0,1,male,0.0,0,0,0.0,B102
0,3,female,23.0,0,0,7.925,
0,2,male,31.0,1,1,37.0042,
0,3,male,43.0,0,0,6.45,
0,3,male,10.0,3,2,27.9,
1,1,female,52.0,1,1,93.5,B69
1,3,male,27.0,0,0,8.6625,
0,1,male,38.0,0,0,0.0,
1,3,female,27.0,0,1,12.475,E121
0,3,male,2.0,4,1,39.6875,
0,3,male,0.0,0,0,6.95,
0,3,male,0.0,0,0,56.4958,
1,2,male,1.0,0,2,37.0042,
1,3,male,0.0,0,0,7.75,
1,1,female,62.0,0,0,80.0,B28
1,3,female,15.0,1,0,14.4542,
1,2,male,0.83,1,1,18.75,
0,3,male,0.0,0,0,7.2292,
0,3,male,23.0,0,0,7.8542,
0,3,male,18.0,0,0,8.3,
1,1,female,39.0,1,1,83.1583,E49
0,3,male,21.0,0,0,8.6625,
0,3,male,0.0,0,0,8.05,
1,3,male,32.0,0,0,56.4958,
1,1,male,0.0,0,0,29.7,C47
0,3,male,20.0,0,0,7.925,
0,2,male,16.0,0,0,10.5,
1,1,female,30.0,0,0,31.0,
0,3,male,34.5,0,0,6.4375,
0,3,male,17.0,0,0,8.6625,
0,3,male,42.0,0,0,7.55,
0,3,male,0.0,8,2,69.55,
0,3,male,35.0,0,0,7.8958,
0,2,male,28.0,0,1,33.0,
1,1,female,0.0,1,0,89.1042,C92
0,3,male,4.0,4,2,31.275,
0,3,male,74.0,0,0,7.775,
0,3,female,9.0,1,1,15.2458,
1,1,female,16.0,0,1,39.4,D28
0,2,female,44.0,1,0,26.0,
1,3,female,18.0,0,1,9.35,
1,1,female,45.0,1,1,164.8667,
1,1,male,51.0,0,0,26.55,E17
1,3,female,24.0,0,3,19.2583,
0,3,male,0.0,0,0,7.2292,
0,3,male,41.0,2,0,14.1083,
0,2,male,21.0,1,0,11.5,
1,1,female,48.0,0,0,25.9292,D17
0,3,female,0.0,8,2,69.55,
0,2,male,24.0,0,0,13.0,
1,2,female,42.0,0,0,13.0,
1,2,female,27.0,1,0,13.8583,
0,1,male,31.0,0,0,50.4958,A24
0,3,male,0.0,0,0,9.5,
1,3,male,4.0,1,1,11.1333,
0,3,male,26.0,0,0,7.8958,
1,1,female,47.0,1,1,52.5542,D35
0,1,male,33.0,0,0,5.0,B51 B53 B55
0,3,male,47.0,0,0,9.0,
1,2,female,28.0,1,0,24.0,
1,3,female,15.0,0,0,7.225,
0,3,male,20.0,0,0,9.8458,
0,3,male,19.0,0,0,7.8958,
0,3,male,0.0,0,0,7.8958,
1,1,female,56.0,0,1,83.1583,C50
1,2,female,25.0,0,1,26.0,
0,3,male,33.0,0,0,7.8958,
0,3,female,22.0,0,0,10.5167,
0,2,male,28.0,0,0,10.5,
0,3,male,25.0,0,0,7.05,
0,3,female,39.0,0,5,29.125,
0,2,male,27.0,0,0,13.0,
1,1,female,19.0,0,0,30.0,B42
0,3,female,0.0,1,2,23.45,
1,1,male,26.0,0,0,30.0,C148
0,3,male,32.0,0,0,7.75,
